"","id.01","LOG10N0","LOG10Nmax","mumax","lag","AIC","atmum","community","Nutrient","Temp","BioRep"
"1","meso:WHM:18:1",2.53635432347906,35,0.116560430356421,0.5,10.0608238414914,28.6506338812109,"meso","WHM","18","1"
"2","meso:WHM:18:2",4.01034979258463,18.0718101698352,0.135829151503093,8,10.4848082167045,34.4828369984179,"meso","WHM","18","2"
"3","meso:WHM:18:3",5.35636959782694,0.5,0.257237686647013,8,2.12303907938931,5.66752683939607,"meso","WHM","18","3"
"4","meso:WHM:22:4",4.51750860263892,10.2863280006553,0.129679941736243,8,13.3222146541659,40.658790667496,"meso","WHM","22","4"
"5","meso:WHM:22:5",5.33663464897452,0.5,0.222579224839678,8,11.7974591761911,5.30433062460266,"meso","WHM","22","5"
"6","meso:WHM:22:6",2.43036763595485,35,0.162969634681212,0.5,10.0063289502481,20.6341188891938,"meso","WHM","22","6"
"7","meso-oligo:WHM:18:1",4.61593332900276,5.41817783043581,0.241338470562626,1.64581679908625,-17.0710146087114,29.4980304686528,"meso-oligo","WHM","18","1"
"8","meso-oligo:WHM:18:2",4.79541836592745,5.5679335045073,0.108022355232682,1.85711095800901,-4.27074062887877,62.0739395498901,"meso-oligo","WHM","18","2"
"9","meso-oligo:WHM:18:3",4.84922152787084,5.5272668056171,0.164736681108386,3.9390855645677,5.46776412956739,43.767248783278,"meso-oligo","WHM","18","3"
"10","meso-oligo:WHM:22:4",5.11458385697443,5.58439266545243,0.085830018372883,6.72073386761298,-10.0457473408049,82.2472578738856,"meso-oligo","WHM","22","4"
"11","meso-oligo:WHM:22:5",4.81019483254972,5.55128126908725,0.170381862164677,0.5,4.20290398717005,38.8118202228639,"meso-oligo","WHM","22","5"
"12","meso-oligo:WHM:22:6",5.5596766485773,0.5,0.18849126138257,8,-12.3344212267477,4.81682855958922,"meso-oligo","WHM","22","6"
"13","meso:WHM_5N:18:1",4.70918048760783,5.33666022525714,0.101356449776352,5.85520402333822,20.4202586318272,73.4547612926212,"meso","WHM_5N","18","1"
"14","meso:WHM_5N:18:2",2.48948600356992,35,0.158972739411628,0.5,11.3785170243574,21.140331242603,"meso","WHM_5N","18","2"
"15","meso:WHM_5N:18:3",4.38495937920653,11.4372518282543,0.151207088084504,8,11.5809500005552,34.8948902655117,"meso","WHM_5N","18","3"
"16","meso:WHM_5N:22:4",4.5639062153106,5.39510067410493,0.110278832918615,0.5,-0.73297732415379,61.7780410985519,"meso","WHM_5N","22","4"
"17","meso:WHM_5N:22:5",4.5844105958092,5.24791347781719,0.121027166973088,1.70540113193743,-16.5584833105082,59.5743324718016,"meso","WHM_5N","22","5"
"18","meso:WHM_5N:22:6",4.50892253026903,5.36286264140863,0.189740883809001,2.37162858587892,4.35322923038269,38.2570898763122,"meso","WHM_5N","22","6"
"19","meso-oligo:WHM_5N:18:1",4.96532869730409,5.38652048723884,0.124559160276947,5.88092884490085,-6.10764565528597,60.2420909164976,"meso-oligo","WHM_5N","18","1"
"20","meso-oligo:WHM_5N:18:2",4.7964180871361,5.4387342204636,0.185298271111504,3.32132574513749,7.09336996874688,39.427647784528,"meso-oligo","WHM_5N","18","2"
"21","meso-oligo:WHM_5N:18:3",4.96437755671419,5.38499512172627,0.147623164344221,8,7.90716764399713,53.8843478545415,"meso-oligo","WHM_5N","18","3"
"22","meso-oligo:WHM_5N:22:4",4.6711556149649,5.44213738250546,0.194390226259176,1.54562340288207,-14.8009339739689,35.9367370202888,"meso-oligo","WHM_5N","22","4"
"23","meso-oligo:WHM_5N:22:5",5.49402365862391,0.5,0.240569435518253,5.44927454947715,-8.31314047414796,2.95519212912547,"meso-oligo","WHM_5N","22","5"
