"Day","Temp","community","Nutrient","BioRep","PFU"
0,"18","meso","WHM",1,39452
0,"18","meso","WHM",2,51495
0,"18","meso","WHM",3,23172
0,"22","meso","WHM",4,27361
0,"22","meso","WHM",5,27294
0,"22","meso","WHM",6,20225
0,"18","meso-oligo","WHM",1,41766
0,"18","meso-oligo","WHM",2,65139
0,"18","meso-oligo","WHM",3,69064
0,"22","meso-oligo","WHM",4,131935
0,"22","meso-oligo","WHM",5,69451
0,"22","meso-oligo","WHM",6,58341
0,"18","meso","WHM_5N",1,62579
0,"18","meso","WHM_5N",2,35731
0,"18","meso","WHM_5N",3,44612
0,"22","meso","WHM_5N",4,41196
0,"22","meso","WHM_5N",5,39734
0,"22","meso","WHM_5N",6,34514
0,"18","meso-oligo","WHM_5N",1,104456
0,"18","meso-oligo","WHM_5N",2,66728
0,"18","meso-oligo","WHM_5N",3,89645
0,"22","meso-oligo","WHM_5N",4,48467
0,"22","meso-oligo","WHM_5N",5,54620
0,"22","meso-oligo","WHM_5N",6,38822
0,"18","meso","WHM_5P",1,47959
0,"18","meso","WHM_5P",2,28256
0,"18","meso","WHM_5P",3,41014
0,"22","meso","WHM_5P",4,53819
0,"22","meso","WHM_5P",5,35797
0,"22","meso","WHM_5P",6,64476
0,"18","meso-oligo","WHM_5P",1,98658
0,"18","meso-oligo","WHM_5P",2,71658
0,"18","meso-oligo","WHM_5P",3,56322
0,"22","meso-oligo","WHM_5P",4,75343
0,"22","meso-oligo","WHM_5P",5,78461
0,"22","meso-oligo","WHM_5P",6,102424
4,"18","meso","WHM",1,30144
4,"18","meso","WHM",2,41294
4,"18","meso","WHM",3,63393
4,"22","meso","WHM",4,102426
4,"22","meso","WHM",5,62144
4,"22","meso","WHM",6,59940
4,"18","meso-oligo","WHM",1,75345
4,"18","meso-oligo","WHM",2,79465
4,"18","meso-oligo","WHM",3,86578
4,"22","meso-oligo","WHM",4,134522
4,"22","meso-oligo","WHM",5,116339
4,"22","meso-oligo","WHM",6,145160
4,"18","meso","WHM_5N",1,44337
4,"18","meso","WHM_5N",2,36053
4,"18","meso","WHM_5N",3,34818
4,"22","meso","WHM_5N",4,40153
4,"22","meso","WHM_5N",5,49992
4,"22","meso","WHM_5N",6,38561
4,"18","meso-oligo","WHM_5N",1,80731
4,"18","meso-oligo","WHM_5N",2,56461
4,"18","meso-oligo","WHM_5N",3,103780
