"day","sample","community","media","temp","replicate","species","n","total_desmids","sp_mean","total_desmids_mean","rel_abund"
"0","meso_WHM_T0","meso","WHM","18","0","s_gracile",1090,1772,1090,1772,61.5124153498871
"0","meso_WHM_T0","meso","WHM","18","0","e_elegans",655,1772,655,1772,36.9638826185102
"0","meso_WHM_T0","meso","WHM","18","0","e_oblongum",27,1772,27,1772,1.52370203160271
"0","meso_5N_T0","meso","5N","18","0","s_gracile",1355,2404,1355,2404,56.3643926788686
"0","meso_5N_T0","meso","5N","18","0","e_elegans",997,2404,997,2404,41.4725457570716
"0","meso_5N_T0","meso","5N","18","0","e_oblongum",52,2404,52,2404,2.1630615640599
"0","meso_5P_T0","meso","5P","18","0","s_gracile",1120,2120,1120,2120,52.8301886792453
"0","meso_5P_T0","meso","5P","18","0","e_elegans",936,2120,936,2120,44.1509433962264
"0","meso_5P_T0","meso","5P","18","0","e_oblongum",64,2120,64,2120,3.0188679245283
"27","meso_WHM_1","meso","WHM","18","1","s_gracile",1073,3793,1061.66666666667,4157.33333333333,25.5372033354715
"27","meso_WHM_1","meso","WHM","18","1","e_elegans",2705,3793,3079,4157.33333333333,74.0618986529827
"27","meso_WHM_1","meso","WHM","18","1","e_oblongum",15,3793,16.6666666666667,4157.33333333333,0.400898011545863
"27","meso_WHM_2","meso","WHM","18","2","s_gracile",1051,4588,1061.66666666667,4157.33333333333,25.5372033354715
"27","meso_WHM_2","meso","WHM","18","2","e_elegans",3518,4588,3079,4157.33333333333,74.0618986529827
"27","meso_WHM_2","meso","WHM","18","2","e_oblongum",19,4588,16.6666666666667,4157.33333333333,0.400898011545863
"27","meso_WHM_3","meso","WHM","18","3","s_gracile",1061,4091,1061.66666666667,4157.33333333333,25.5372033354715
"27","meso_WHM_3","meso","WHM","18","3","e_elegans",3014,4091,3079,4157.33333333333,74.0618986529827
"27","meso_WHM_3","meso","WHM","18","3","e_oblongum",16,4091,16.6666666666667,4157.33333333333,0.400898011545863
"27","meso_WHM_4","meso","WHM","22","4","s_gracile",804,4491,880,4415.33333333333,19.9305450702099
"27","meso_WHM_4","meso","WHM","22","4","e_elegans",3675,4491,3523,4415.33333333333,79.7901253208516
"27","meso_WHM_4","meso","WHM","22","4","e_oblongum",12,4491,12.3333333333333,4415.33333333333,0.279329608938548
"27","meso_WHM_5","meso","WHM","22","5","s_gracile",940,4349,880,4415.33333333333,19.9305450702099
"27","meso_WHM_5","meso","WHM","22","5","e_elegans",3393,4349,3523,4415.33333333333,79.7901253208516
"27","meso_WHM_5","meso","WHM","22","5","e_oblongum",16,4349,12.3333333333333,4415.33333333333,0.279329608938548
"27","meso_WHM_6","meso","WHM","22","6","s_gracile",896,4406,880,4415.33333333333,19.9305450702099
"27","meso_WHM_6","meso","WHM","22","6","e_elegans",3501,4406,3523,4415.33333333333,79.7901253208516
"27","meso_WHM_6","meso","WHM","22","6","e_oblongum",9,4406,12.3333333333333,4415.33333333333,0.279329608938548
"27","meso_5N_1","meso","5N","18","1","s_gracile",1001,4324,1030.66666666667,4354.66666666667,23.6680955296999
"27","meso_5N_1","meso","5N","18","1","e_elegans",3314,4324,3312.66666666667,4354.66666666667,76.0716472749541
"27","meso_5N_1","meso","5N","18","1","e_oblongum",9,4324,11.3333333333333,4354.66666666667,0.260257195345989
"27","meso_5N_2","meso","5N","18","2","s_gracile",1031,4356,1030.66666666667,4354.66666666667,23.6680955296999
"27","meso_5N_2","meso","5N","18","2","e_elegans",3315,4356,3312.66666666667,4354.66666666667,76.0716472749541
"27","meso_5N_2","meso","5N","18","2","e_oblongum",10,4356,11.3333333333333,4354.66666666667,0.260257195345989
"27","meso_5N_3","meso","5N","18","3","s_gracile",1060,4384,1030.66666666667,4354.66666666667,23.6680955296999
"27","meso_5N_3","meso","5N","18","3","e_elegans",3309,4384,3312.66666666667,4354.66666666667,76.0716472749541
"27","meso_5N_3","meso","5N","18","3","e_oblongum",15,4384,11.3333333333333,4354.66666666667,0.260257195345989
"27","meso_5N_4","meso","5N","22","4","s_gracile",912,4512,936.333333333333,4363.66666666667,21.4574898785425
"27","meso_5N_4","meso","5N","22","4","e_elegans",3584,4512,3415.33333333333,4363.66666666667,78.2675120311664
"27","meso_5N_4","meso","5N","22","4","e_oblongum",16,4512,12,4363.66666666667,0.27499809029104
"27","meso_5N_5","meso","5N","22","5","s_gracile",951,4188,936.333333333333,4363.66666666667,21.4574898785425
"27","meso_5N_5","meso","5N","22","5","e_elegans",3228,4188,3415.33333333333,4363.66666666667,78.2675120311664
"27","meso_5N_5","meso","5N","22","5","e_oblongum",9,4188,12,4363.66666666667,0.27499809029104
"27","meso_5N_6","meso","5N","22","6","s_gracile",946,4391,936.333333333333,4363.66666666667,21.4574898785425
"27","meso_5N_6","meso","5N","22","6","e_elegans",3434,4391,3415.33333333333,4363.66666666667,78.2675120311664
"27","meso_5N_6","meso","5N","22","6","e_oblongum",11,4391,12,4363.66666666667,0.27499809029104
"27","meso_5P_1","meso","5P","18","1","s_gracile",770,3621,707,3615.66666666667,19.5537936756707
"27","meso_5P_1","meso","5P","18","1","e_elegans",2823,3621,2883.33333333333,3615.66666666667,79.7455517654651
"27","meso_5P_1","meso","5P","18","1","e_oblongum",28,3621,25.3333333333333,3615.66666666667,0.700654558864202
"27","meso_5P_2","meso","5P","18","2","s_gracile",649,3456,707,3615.66666666667,19.5537936756707
"27","meso_5P_2","meso","5P","18","2","e_elegans",2783,3456,2883.33333333333,3615.66666666667,79.7455517654651
"27","meso_5P_2","meso","5P","18","2","e_oblongum",24,3456,25.3333333333333,3615.66666666667,0.700654558864202
"27","meso_5P_3","meso","5P","18","3","s_gracile",702,3770,707,3615.66666666667,19.5537936756707
"27","meso_5P_3","meso","5P","18","3","e_elegans",3044,3770,2883.33333333333,3615.66666666667,79.7455517654651
"27","meso_5P_3","meso","5P","18","3","e_oblongum",24,3770,25.3333333333333,3615.66666666667,0.700654558864202
"27","meso_5P_4","meso","5P","22","4","s_gracile",790,3382,816.666666666667,3886.33333333333,21.0138090745347
"27","meso_5P_4","meso","5P","22","4","e_elegans",2584,3382,3057,3886.33333333333,78.6602624581868
"27","meso_5P_4","meso","5P","22","4","e_oblongum",8,3382,12.6666666666667,3886.33333333333,0.325928467278497
"27","meso_5P_5","meso","5P","22","5","s_gracile",834,4023,816.666666666667,3886.33333333333,21.0138090745347
"27","meso_5P_5","meso","5P","22","5","e_elegans",3174,4023,3057,3886.33333333333,78.6602624581868
